编号,SBU,PRD号码,产品名称,中文描述,中文文件名（带文件名后缀）,中文版本号,只放EDG和EDR，英文部分都不放,,,,,,
44,EDG,30628587,Joncryl® ECO 2124-E,安全说明书,JONCRYLECO2124E_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
45,EDG,30282632,Joncryl® ECO 2177,安全说明书,JONCRYLECO2177_SDS_GEN_CN_ZH_9-0_CN16.PDF,CN 9.0,,,,,,,
46,EDG,30282641,Joncryl® FLX 5000,安全说明书,JONCRYLFLX5000_SDS_GEN_CN_ZH_6-0_CN16.PDF,CN 6.0,,,,,,,
47,EDG,30516931,Joncryl® FLX 5002,安全说明书,JONCRYLFLX5002_SDS_GEN_CN_ZH_7-0_CN16.PDF,CN 7.0,,,,,,,
48,EDG,30442447,Joncryl® FLX 5020,安全说明书,JONCRYLFLX5020_SDS_GEN_CN_ZH_6-0_CN16.PDF,CN 6.0,,,,,,,
49,EDG,30635411,Joncryl® FLX 5026,安全说明书,JONCRYLFLX5026_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
50,EDG,30520637,Joncryl® FLX 5040,安全说明书,JONCRYLFLX5040_SDS_GEN_CN_ZH_4-0_CN16.PDF,CN 4.0,,,,,,,
51,EDG,30737979,Joncryl® 7256,安全说明书,JONCRYL7256_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
52,EDG,30684132,Joncryl® 7266,安全说明书,JONCRYL7266_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
53,EDG,30605342,Joncryl® FLX 5201,安全说明书,JONCRYLFLX5201_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
54,EDG,30661968,Joncryl® FLX 5220,安全说明书,JONCRYLFLX5220_SDS_GEN_CN_ZH_3-0_CN16.PDF,CN 3.0,,,,,,,
55,EDG,30282669,Joncryl® HRC 1661,安全说明书,JONCRYLHRC1661_SDS_GEN_CN_ZH_6-0_CN16.PDF,CN 6.0,,,,,,,
